model_display_name,test_accuracy,test_balanced_acc,test_log_loss,test_ece,class0_precision,class0_recall,class0_f1,class1_precision,class1_recall,class1_f1,class2_precision,class2_recall,class2_f1,class3_precision,class3_recall,class3_f1
Calibrated_KNeighborsClassifier()_Window401Poly1_PCA0.999_NomRMR,0.9142857142857143,0.9158180658098624,0.25772955269662934,0.0569639219753551,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9054054054054054,0.8933333333333333,0.8993288590604027,0.9423076923076923,0.9245283018867925,0.9333333333333333,0.8648648648648649,0.8888888888888888,0.8767123287671232
"Calibrated_KNeighborsClassifier(metric='cosine', n_neighbors=3, weights='distance')_Window401Poly1_PCA0.999_NomRMR",0.9238095238095239,0.9260958435876401,0.239751791316874,0.06528636898921786,0.9361702127659575,0.9565217391304348,0.946236559139785,0.918918918918919,0.9066666666666666,0.912751677852349,0.9423076923076923,0.9245283018867925,0.9333333333333333,0.8918918918918919,0.9166666666666666,0.9041095890410958
"Calibrated_SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window401Poly1_PCA0.999_NomRMR",0.5238095238095238,0.4465217391304348,1.13788898404673,0.10087784504950609,0.7307692307692307,0.8260869565217391,0.7755102040816326,0.4675324675324675,0.96,0.62882096069869,0.0,0.0,0.0,0.0,0.0,0.0
"Calibrated_SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    probability=True)_Window401Poly1_PCA0.999_NomRMR",0.38095238095238093,0.27645611156685806,1.3159482378432723,0.024140768262188483,0.3333333333333333,0.08695652173913043,0.13793103448275862,0.38461538461538464,1.0,0.5555555555555556,0.3333333333333333,0.018867924528301886,0.03571428571428571,0.0,0.0,0.0
Calibrated_LinearDiscriminantAnalysis()_Window401Poly1_PCA0.999_NomRMR,0.6333333333333333,0.5892687539877859,1.0214646952798156,0.191585052369698,0.8,0.2608695652173913,0.39344262295081966,0.5285714285714286,0.9866666666666667,0.6883720930232559,0.8461538461538461,0.41509433962264153,0.5569620253164557,0.8620689655172413,0.6944444444444444,0.7692307692307693
Calibrated_KNeighborsClassifier()_Window201Poly1_PCA0.95_NomRMR,0.9238095238095239,0.9167721720900556,0.27776685655653205,0.08249746351148149,0.9772727272727273,0.9347826086956522,0.9555555555555556,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.8611111111111112,0.8611111111111112,0.8611111111111112
"Calibrated_KNeighborsClassifier(metric='cosine', n_neighbors=3, weights='distance')_Window201Poly1_PCA0.95_NomRMR",0.8809523809523809,0.8776485735119862,0.32197279404573614,0.0902545238478902,0.9743589743589743,0.8260869565217391,0.8941176470588236,0.88,0.88,0.88,0.8771929824561403,0.9433962264150944,0.9090909090909091,0.7948717948717948,0.8611111111111112,0.8266666666666667
"Calibrated_SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window201Poly1_PCA0.95_NomRMR",0.5476190476190477,0.46739130434782605,1.07332616474726,0.1869524688993584,0.8163265306122449,0.8695652173913043,0.8421052631578947,0.46875,1.0,0.6382978723404256,0.0,0.0,0.0,0.0,0.0,0.0
"Calibrated_SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    probability=True)_Window201Poly1_PCA0.95_NomRMR",0.3904761904761905,0.28932321575061526,1.332655928679436,0.023650863445865852,0.75,0.06521739130434782,0.12,0.38095238095238093,0.96,0.5454545454545454,0.4117647058823529,0.1320754716981132,0.2,0.0,0.0,0.0
Calibrated_LinearDiscriminantAnalysis()_Window201Poly1_PCA0.95_NomRMR,0.5238095238095238,0.446396408713882,1.070749002260716,0.11369740937788689,0.6190476190476191,0.2826086956521739,0.3880597014925373,0.4528301886792453,0.96,0.6153846153846154,0.85,0.32075471698113206,0.4657534246575342,0.8,0.2222222222222222,0.34782608695652173
