model_display_name,test_accuracy,test_balanced_acc,test_log_loss,test_ece,class0_precision,class0_recall,class0_f1,class1_precision,class1_recall,class1_f1,class2_precision,class2_recall,class2_f1,class3_precision,class3_recall,class3_f1
Calib_KNeighborsClassifier()_Window401Poly1_PCA0.999_NomRMR,0.9095238095238095,0.9088736213654179,0.4143939383896965,0.07212206759469096,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9054054054054054,0.8933333333333333,0.8993288590604027,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.8611111111111112,0.8611111111111112,0.8611111111111112
"Calib_KNeighborsClassifier(metric='cosine', n_neighbors=3, weights='distance')_Window401Poly1_PCA0.999_NomRMR",0.9047619047619048,0.9019291769209735,0.4356562051725985,0.07967631261411388,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9054054054054054,0.8933333333333333,0.8993288590604027,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.8333333333333334,0.8333333333333334,0.8333333333333334
"Calib_SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window401Poly1_PCA0.999_NomRMR",0.5333333333333333,0.4594927536231884,1.089583040506556,0.12120012523208819,0.7454545454545455,0.8913043478260869,0.8118811881188119,0.47019867549668876,0.9466666666666667,0.6283185840707964,0.0,0.0,0.0,0.0,0.0,0.0
"Calib_SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    probability=True)_Window401Poly1_PCA0.999_NomRMR",0.3761904761904762,0.27312277823352477,1.3144456411322274,0.02539678687122997,0.3333333333333333,0.08695652173913043,0.13793103448275862,0.38341968911917096,0.9866666666666667,0.5522388059701493,0.2,0.018867924528301886,0.034482758620689655,0.0,0.0,0.0
Calib_LinearDiscriminantAnalysis()_Window401Poly1_PCA0.999_NomRMR,0.638095238095238,0.6184716525385107,0.9926521354752988,0.20461841229755948,0.875,0.30434782608695654,0.45161290322580644,0.5403225806451613,0.8933333333333333,0.6733668341708543,0.8148148148148148,0.41509433962264153,0.55,0.7209302325581395,0.8611111111111112,0.7848101265822784
Calib_KNeighborsClassifier()_Window201Poly1_PCA0.95_NomRMR,0.919047619047619,0.9177677513444537,0.39621191895809943,0.06176154991181139,0.9777777777777777,0.9565217391304348,0.967032967032967,0.9078947368421053,0.92,0.9139072847682119,0.9411764705882353,0.9056603773584906,0.9230769230769231,0.8421052631578947,0.8888888888888888,0.8648648648648649
"Calib_KNeighborsClassifier(metric='cosine', n_neighbors=3, weights='distance')_Window201Poly1_PCA0.95_NomRMR",0.9238095238095239,0.9281972928630025,0.29957467846261815,0.05089837423506864,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9178082191780822,0.8933333333333333,0.9054054054054054,0.9423076923076923,0.9245283018867925,0.9333333333333333,0.8461538461538461,0.9166666666666666,0.88
"Calib_SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window201Poly1_PCA0.95_NomRMR",0.5476190476190477,0.46739130434782605,1.0642057994735308,0.11466555408763367,0.7843137254901961,0.8695652173913043,0.8247422680412371,0.47468354430379744,1.0,0.6437768240343348,0.0,0.0,0.0,0.0,0.0,0.0
"Calib_SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    probability=True)_Window201Poly1_PCA0.95_NomRMR",0.4,0.298039376538146,1.3350386852137712,0.03810397130247781,1.0,0.043478260869565216,0.08333333333333333,0.4022346368715084,0.96,0.5669291338582677,0.35714285714285715,0.18867924528301888,0.24691358024691357,0.0,0.0,0.0
Calib_LinearDiscriminantAnalysis()_Window201Poly1_PCA0.95_NomRMR,0.5571428571428572,0.4971089691003555,1.0525294599392128,0.114606336863809,0.6086956521739131,0.30434782608695654,0.4057971014492754,0.47651006711409394,0.9466666666666667,0.6339285714285714,0.85,0.32075471698113206,0.4657534246575342,0.8333333333333334,0.4166666666666667,0.5555555555555556
Calib_KNeighborsClassifier()_Window401Poly1_NoPCA_NomRMR,0.9095238095238095,0.9088736213654179,0.3975180503849252,0.06584671219650284,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9305555555555556,0.8933333333333333,0.9115646258503401,0.9074074074074074,0.9245283018867925,0.9158878504672897,0.8378378378378378,0.8611111111111112,0.8493150684931506
"Calib_KNeighborsClassifier(metric='cosine', n_neighbors=7, weights='distance')_Window401Poly1_NoPCA_NomRMR",0.9095238095238095,0.9088736213654179,0.4082303314937036,0.06872710327922779,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9178082191780822,0.8933333333333333,0.9054054054054054,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.8378378378378378,0.8611111111111112,0.8493150684931506
"Calib_SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window401Poly1_NoPCA_NomRMR",0.38095238095238093,0.27717391304347827,1.3108747389826292,0.037202534720405564,0.45454545454545453,0.10869565217391304,0.17543859649122806,0.3826530612244898,1.0,0.5535055350553506,0.0,0.0,0.0,0.0,0.0,0.0
Calib_LinearDiscriminantAnalysis()_Window401Poly1_NoPCA_NomRMR,0.7285714285714285,0.6904441254215661,0.7322535426741559,0.09277702096297492,0.8787878787878788,0.6304347826086957,0.7341772151898734,0.6770833333333334,0.8666666666666667,0.7602339181286549,0.875,0.7924528301886793,0.8316831683168316,0.5151515151515151,0.4722222222222222,0.4927536231884058
Calib_KNeighborsClassifier()_Window201Poly1_NoPCA_NomRMR,0.9380952380952381,0.9395809406617446,0.22412961202975296,0.04320829712650383,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9452054794520548,0.92,0.9324324324324325,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.868421052631579,0.9166666666666666,0.8918918918918919
"Calib_KNeighborsClassifier(metric='manhattan', n_neighbors=7, weights='distance')_Window201Poly1_NoPCA_NomRMR",0.9047619047619048,0.9033128247197156,0.4549863958945128,0.08375527661557716,0.9777777777777777,0.9565217391304348,0.967032967032967,0.9166666666666666,0.88,0.8979591836734694,0.9090909090909091,0.9433962264150944,0.9259259259259259,0.7894736842105263,0.8333333333333334,0.8108108108108109
"Calib_SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window201Poly1_NoPCA_NomRMR",0.3761904761904762,0.2752242275088871,1.2775494699361833,0.03346539675370806,0.45454545454545453,0.10869565217391304,0.17543859649122806,0.3924731182795699,0.9733333333333334,0.5593869731800766,0.07692307692307693,0.018867924528301886,0.030303030303030304,0.0,0.0,0.0
"Calib_SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    kernel='linear', probability=True)_Window201Poly1_NoPCA_NomRMR",0.38571428571428573,0.28327454197429586,1.3069346675017088,0.029123960302456273,0.5555555555555556,0.10869565217391304,0.18181818181818182,0.38341968911917096,0.9866666666666667,0.5522388059701493,0.25,0.03773584905660377,0.06557377049180328,0.0,0.0,0.0
