model_display_name,test_accuracy,test_balanced_acc,test_log_loss,test_ece,class0_precision,class0_recall,class0_f1,class1_precision,class1_recall,class1_f1,class2_precision,class2_recall,class2_f1,class3_precision,class3_recall,class3_f1
KNeighborsClassifier()_Window401Poly1_PCA0.999_NomRMR,0.9142857142857143,0.9122069546987512,0.9712047750251896,0.035610853704928794,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.8857142857142857,0.8611111111111112,0.8732394366197183
"KNeighborsClassifier(metric='cosine', n_neighbors=3, weights='distance')_Window401Poly1_PCA0.999_NomRMR",0.9142857142857143,0.9122069546987512,0.9712047750251896,0.035610853704928794,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.8857142857142857,0.8611111111111112,0.8732394366197183
"SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window401Poly1_PCA0.999_NomRMR",0.7523809523809524,0.769321392762738,0.5996177741758234,0.10375820650053322,0.68,0.7391304347826086,0.7083333333333334,0.873015873015873,0.7333333333333333,0.7971014492753623,0.6363636363636364,0.660377358490566,0.6481481481481481,0.8095238095238095,0.9444444444444444,0.8717948717948718
"SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    probability=True)_Window401Poly1_PCA0.999_NomRMR",0.7523809523809524,0.769321392762738,0.5996177741758234,0.10375820650053322,0.68,0.7391304347826086,0.7083333333333334,0.873015873015873,0.7333333333333333,0.7971014492753623,0.6363636363636364,0.660377358490566,0.6481481481481481,0.8095238095238095,0.9444444444444444,0.8717948717948718
LinearDiscriminantAnalysis()_Window401Poly1_PCA0.999_NomRMR,0.5571428571428572,0.4779575699571598,1.0046356073439098,0.06416532717400746,0.6956521739130435,0.34782608695652173,0.463768115942029,0.47096774193548385,0.9733333333333334,0.6347826086956522,0.875,0.39622641509433965,0.5454545454545454,0.875,0.19444444444444445,0.3181818181818182
KNeighborsClassifier()_Window201Poly1_PCA0.95_NomRMR,0.9333333333333333,0.9326364962173002,0.8172040277869946,0.04000000000000001,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.92,0.92,0.92,0.9803921568627451,0.9433962264150944,0.9615384615384616,0.8421052631578947,0.8888888888888888,0.8648648648648649
"KNeighborsClassifier(metric='cosine', n_neighbors=3, weights='distance')_Window201Poly1_PCA0.95_NomRMR",0.9333333333333333,0.9326364962173002,0.8172040277869946,0.04000000000000001,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.92,0.92,0.92,0.9803921568627451,0.9433962264150944,0.9615384615384616,0.8421052631578947,0.8888888888888888,0.8648648648648649
"SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window201Poly1_PCA0.95_NomRMR",0.35714285714285715,0.4091741864916598,1.32005828602762,0.07861552737529133,0.325,0.2826086956521739,0.3023255813953488,0.42857142857142855,0.2,0.2727272727272727,0.3617021276595745,0.32075471698113206,0.34,0.3409090909090909,0.8333333333333334,0.4838709677419355
"SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    probability=True)_Window201Poly1_PCA0.95_NomRMR",0.35714285714285715,0.4091741864916598,1.32005828602762,0.07861552737529133,0.325,0.2826086956521739,0.3023255813953488,0.42857142857142855,0.2,0.2727272727272727,0.3617021276595745,0.32075471698113206,0.34,0.3409090909090909,0.8333333333333334,0.4838709677419355
LinearDiscriminantAnalysis()_Window201Poly1_PCA0.95_NomRMR,0.5095238095238095,0.4240534135447999,1.061981402372011,0.06821342674207011,0.6086956521739131,0.30434782608695654,0.4057971014492754,0.44171779141104295,0.96,0.6050420168067226,0.85,0.32075471698113206,0.4657534246575342,1.0,0.1111111111111111,0.2
KNeighborsClassifier()_Window401Poly1_NoPCA_NomRMR,0.9142857142857143,0.9122069546987512,0.9725404615444786,0.03601605684434143,0.9361702127659575,0.9565217391304348,0.946236559139785,0.8947368421052632,0.9066666666666666,0.9006622516556292,0.9423076923076923,0.9245283018867925,0.9333333333333333,0.8857142857142857,0.8611111111111112,0.8732394366197183
"KNeighborsClassifier(metric='cosine', n_neighbors=7, weights='distance')_Window401Poly1_NoPCA_NomRMR",0.9142857142857143,0.9122069546987512,0.9725404615444786,0.03601605684434143,0.9361702127659575,0.9565217391304348,0.946236559139785,0.8947368421052632,0.9066666666666666,0.9006622516556292,0.9423076923076923,0.9245283018867925,0.9333333333333333,0.8857142857142857,0.8611111111111112,0.8732394366197183
"SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window401Poly1_NoPCA_NomRMR",0.8761904761904762,0.8874279919788534,0.5859868544292188,0.13386333297879324,0.8,0.8695652173913043,0.8333333333333334,0.9402985074626866,0.84,0.8873239436619719,0.92,0.8679245283018868,0.8932038834951457,0.813953488372093,0.9722222222222222,0.8860759493670886
