model_display_name,test_accuracy,test_balanced_acc,test_log_loss,test_ece,class0_precision,class0_recall,class0_f1,class1_precision,class1_recall,class1_f1,class2_precision,class2_recall,class2_f1,class3_precision,class3_recall,class3_f1
Calib_KNeighborsClassifier()_Window401Poly1_PCA0.999_NomRMR,0.8952380952380953,0.8938788624555648,0.3196053945383348,0.06347918892606229,0.9166666666666666,0.9565217391304348,0.9361702127659575,0.8918918918918919,0.88,0.8859060402684564,0.9056603773584906,0.9056603773584906,0.9056603773584906,0.8571428571428571,0.8333333333333334,0.8450704225352113
"Calib_KNeighborsClassifier(metric='cosine', n_neighbors=3, weights='distance')_Window401Poly1_PCA0.999_NomRMR",0.9142857142857143,0.9122069546987512,0.265967939995299,0.046111145538538664,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.8857142857142857,0.8611111111111112,0.8732394366197183
"Calib_SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window401Poly1_PCA0.999_NomRMR",0.5238095238095238,0.4465217391304348,1.114945604461045,0.10421395823853476,0.7450980392156863,0.8260869565217391,0.7835051546391752,0.4645161290322581,0.96,0.6260869565217392,0.0,0.0,0.0,0.0,0.0,0.0
"Calib_SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    probability=True)_Window401Poly1_PCA0.999_NomRMR",0.3761904761904762,0.2717391304347826,1.319917302903041,0.05195199944003098,0.3333333333333333,0.08695652173913043,0.13793103448275862,0.3787878787878788,1.0,0.5494505494505495,0.0,0.0,0.0,0.0,0.0,0.0
Calib_LinearDiscriminantAnalysis()_Window401Poly1_PCA0.999_NomRMR,0.6523809523809524,0.6233508795916507,0.9998792541988462,0.21461442234597902,0.8823529411764706,0.32608695652173914,0.47619047619047616,0.5419847328244275,0.9466666666666667,0.6893203883495146,0.8148148148148148,0.41509433962264153,0.55,0.8285714285714286,0.8055555555555556,0.8169014084507042
Calib_KNeighborsClassifier()_Window201Poly1_PCA0.95_NomRMR,0.9,0.8957025339531492,0.34630067977064916,0.05569179634945182,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9054054054054054,0.8933333333333333,0.8993288590604027,0.8888888888888888,0.9056603773584906,0.897196261682243,0.8055555555555556,0.8055555555555556,0.8055555555555556
"Calib_KNeighborsClassifier(metric='cosine', n_neighbors=3, weights='distance')_Window201Poly1_PCA0.95_NomRMR",0.9238095238095239,0.9217669309999089,0.2380986568601086,0.04621014579608442,0.9772727272727273,0.9347826086956522,0.9555555555555556,0.92,0.92,0.92,0.9615384615384616,0.9433962264150944,0.9523809523809523,0.8205128205128205,0.8888888888888888,0.8533333333333334
"Calib_SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window201Poly1_PCA0.95_NomRMR",0.5428571428571428,0.46405797101449275,1.064234662869783,0.16604529517019914,0.8163265306122449,0.8695652173913043,0.8421052631578947,0.46540880503144655,0.9866666666666667,0.6324786324786325,0.0,0.0,0.0,0.0,0.0,0.0
"Calib_SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    probability=True)_Window201Poly1_PCA0.95_NomRMR",0.3904761904761905,0.2900410172272354,1.3369035394649413,0.02687505404785387,0.6666666666666666,0.08695652173913043,0.15384615384615385,0.38095238095238093,0.96,0.5454545454545454,0.4,0.11320754716981132,0.17647058823529413,0.0,0.0,0.0
Calib_LinearDiscriminantAnalysis()_Window201Poly1_PCA0.95_NomRMR,0.5476190476190477,0.47960896910035544,1.057664346327535,0.12269471164697211,0.6363636363636364,0.30434782608695654,0.4117647058823529,0.4675324675324675,0.96,0.62882096069869,0.85,0.32075471698113206,0.4657534246575342,0.8571428571428571,0.3333333333333333,0.48
Calib_KNeighborsClassifier()_Window401Poly1_NoPCA_NomRMR,0.9238095238095239,0.9202572691641601,0.2286725142528141,0.05342889615463938,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.92,0.92,0.92,0.9259259259259259,0.9433962264150944,0.9345794392523364,0.8857142857142857,0.8611111111111112,0.8732394366197183
"Calib_KNeighborsClassifier(metric='cosine', n_neighbors=7, weights='distance')_Window401Poly1_NoPCA_NomRMR",0.919047619047619,0.9169239358308267,0.26193144087176207,0.04814844008517043,0.9361702127659575,0.9565217391304348,0.946236559139785,0.918918918918919,0.9066666666666666,0.912751677852349,0.9259259259259259,0.9433962264150944,0.9345794392523364,0.8857142857142857,0.8611111111111112,0.8732394366197183
"Calib_SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window401Poly1_NoPCA_NomRMR",0.38571428571428573,0.2826086956521739,1.3162854000087425,0.03170026456506675,0.42857142857142855,0.13043478260869565,0.2,0.3826530612244898,1.0,0.5535055350553506,0.0,0.0,0.0,0.0,0.0,0.0
Calib_LinearDiscriminantAnalysis()_Window401Poly1_NoPCA_NomRMR,0.7523809523809524,0.7224867833378908,0.6672208287034264,0.073220726031646,0.875,0.7608695652173914,0.813953488372093,0.7294117647058823,0.8266666666666667,0.775,0.88,0.8301886792452831,0.8543689320388349,0.4857142857142857,0.4722222222222222,0.4788732394366197
Calib_KNeighborsClassifier()_Window201Poly1_NoPCA_NomRMR,0.9333333333333333,0.9326364962173002,0.2056659557441494,0.022380774031385418,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.971830985915493,0.92,0.9452054794520548,0.8928571428571429,0.9433962264150944,0.9174311926605505,0.8648648648648649,0.8888888888888888,0.8767123287671232
"Calib_KNeighborsClassifier(metric='manhattan', n_neighbors=7, weights='distance')_Window201Poly1_NoPCA_NomRMR",0.9142857142857143,0.9062423662382645,0.25039540235502894,0.03116697397143483,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.918918918918919,0.9066666666666666,0.912751677852349,0.9107142857142857,0.9622641509433962,0.9357798165137615,0.8235294117647058,0.7777777777777778,0.8
"Calib_SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window201Poly1_NoPCA_NomRMR",0.4238095238095238,0.32608695652173914,1.205412119200487,0.09806926836605774,0.7,0.30434782608695654,0.42424242424242425,0.4032258064516129,1.0,0.5747126436781609,0.0,0.0,0.0,0.0,0.0,0.0
"Calib_SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    kernel='linear', probability=True)_Window201Poly1_NoPCA_NomRMR",0.3761904761904762,0.2717391304347826,1.3428347849754567,0.01479367132444739,0.6666666666666666,0.08695652173913043,0.15384615384615385,0.3787878787878788,1.0,0.5494505494505495,0.0,0.0,0.0,0.0,0.0,0.0
Calib_LinearDiscriminantAnalysis()_Window201Poly1_NoPCA_NomRMR,0.719047619047619,0.673283884787166,0.8552348851392537,0.07321711617870559,0.868421052631579,0.717391304347826,0.7857142857142857,0.6702127659574468,0.84,0.7455621301775148,0.8461538461538461,0.8301886792452831,0.8380952380952381,0.4230769230769231,0.3055555555555556,0.3548387096774194
