model_display_name,test_accuracy,test_balanced_acc,test_log_loss,test_ece,class0_precision,class0_recall,class0_f1,class1_precision,class1_recall,class1_f1,class2_precision,class2_recall,class2_f1,class3_precision,class3_recall,class3_f1
KNeighborsClassifier()_Window401Poly1_PCA0.999_NomRMR,0.9142857142857143,0.9122069546987512,0.6622407579914626,0.06098501395164825,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.8857142857142857,0.8611111111111112,0.8732394366197183
"KNeighborsClassifier(metric='cosine', n_neighbors=3, weights='distance')_Window401Poly1_PCA0.999_NomRMR",0.9142857142857143,0.9122069546987512,0.6622407579914626,0.06098501395164825,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.8857142857142857,0.8611111111111112,0.8732394366197183
"SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window401Poly1_PCA0.999_NomRMR",0.7285714285714285,0.7533725275726917,0.6007480088994278,0.1042437048578151,0.6730769230769231,0.7608695652173914,0.7142857142857143,0.8771929824561403,0.6666666666666666,0.7575757575757576,0.6296296296296297,0.6415094339622641,0.6355140186915887,0.723404255319149,0.9444444444444444,0.8192771084337349
"SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    probability=True)_Window401Poly1_PCA0.999_NomRMR",0.7285714285714285,0.7533725275726917,0.6007480088994278,0.1042437048578151,0.6730769230769231,0.7608695652173914,0.7142857142857143,0.8771929824561403,0.6666666666666666,0.7575757575757576,0.6296296296296297,0.6415094339622641,0.6355140186915887,0.723404255319149,0.9444444444444444,0.8192771084337349
LinearDiscriminantAnalysis()_Window401Poly1_PCA0.999_NomRMR,0.5666666666666667,0.48739153222131076,1.0091246402695717,0.07734014922452596,0.7619047619047619,0.34782608695652173,0.47761194029850745,0.47096774193548385,0.9733333333333334,0.6347826086956522,0.8846153846153846,0.4339622641509434,0.5822784810126582,0.875,0.19444444444444445,0.3181818181818182
KNeighborsClassifier()_Window201Poly1_PCA0.95_NomRMR,0.9142857142857143,0.9158180658098624,0.6643091998961771,0.026666666666666672,0.9777777777777777,0.9565217391304348,0.967032967032967,0.9054054054054054,0.8933333333333333,0.8993288590604027,0.98,0.9245283018867925,0.9514563106796117,0.7804878048780488,0.8888888888888888,0.8311688311688312
"KNeighborsClassifier(metric='cosine', n_neighbors=3, weights='distance')_Window201Poly1_PCA0.95_NomRMR",0.9142857142857143,0.9158180658098624,0.6643091998961771,0.026666666666666672,0.9777777777777777,0.9565217391304348,0.967032967032967,0.9054054054054054,0.8933333333333333,0.8993288590604027,0.98,0.9245283018867925,0.9514563106796117,0.7804878048780488,0.8888888888888888,0.8311688311688312
"SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window201Poly1_PCA0.95_NomRMR",0.3523809523809524,0.4058928083128247,1.3117264276438851,0.06907009155807796,0.3488372093023256,0.32608695652173914,0.33707865168539325,0.4411764705882353,0.2,0.27522935779816515,0.3181818181818182,0.2641509433962264,0.28865979381443296,0.33707865168539325,0.8333333333333334,0.48
"SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    probability=True)_Window201Poly1_PCA0.95_NomRMR",0.3523809523809524,0.4058928083128247,1.3117264276438851,0.06907009155807796,0.3488372093023256,0.32608695652173914,0.33707865168539325,0.4411764705882353,0.2,0.27522935779816515,0.3181818181818182,0.2641509433962264,0.28865979381443296,0.33707865168539325,0.8333333333333334,0.48
LinearDiscriminantAnalysis()_Window201Poly1_PCA0.95_NomRMR,0.5047619047619047,0.41861863093610424,1.0669268223535298,0.06430611332817647,0.5909090909090909,0.2826086956521739,0.38235294117647056,0.43902439024390244,0.96,0.602510460251046,0.85,0.32075471698113206,0.4657534246575342,1.0,0.1111111111111111,0.2
